ghg,gas_group,GWP_100_AR4,GWP_100_SAR,GWP_100_TAR,GWP_100_AR5
CO2,CO2,1,1,1,1
CH4,CH4,25,21,23,28
N2O,N2O,298,310,296,265
HFC-23,HFCs,14800,11700,12000,12400
HFC-32,HFCs,675,650,550,677
HFC-43-10mee,HFCs,1640,1300,1500,1650
HFC-125,HFCs,3500,2800,3400,3170
HFC-134a,HFCs,1430,1300,1300,1300
HFC-143a,HFCs,4470,3800,4300,4800
HFC-152a,HFCs,124,140,120,138
HFC-227ea,HFCs,3220,2900,3500,3350
HFC-236fa,HFCs,9810,6300,9400,8060
HFC-245fa,HFCs,1030,,950,858
HFC-365mfc,HFCs,794,,890,804
HFCs,HFCs,,,,
SF6,SF6,22800,23900,22200,23500
PFCs,PFCs,,,,
CF4,PFCs,7390,6500,5700,6630
C2F6,PFCs,12200,9200,11900,11100
C3F8,PFCs,8830,7000,8600,8900
C4F10,PFCs,8860,7000,8600,9200
c-C4F8,PFCs,10300,8700,10000,9540
C5F12,PFCs,9160,,,
C6F14,PFCs,9300,7400,9000,7910
C7F16,PFCs,7930,,,
NF3,NF3,17200,,10800,16100
